"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Story: User should be able to get product by category","0","0","4","0","0"
"","","Story: USer should be able to add more than one product to the cart","0","0","1","0","0"
"","","Story: User should be able to get all products","0","0","1","0","0"
"","","Story: USer should be able to add a product to the cart","0","0","1","0","0"
"","","Story: User should be able to get product by ID","2","0","2","0","0"
"","","Story: User should be able to get product by invalid ID","0","0","1","0","0"
"","","Story: User should be able to get all products and print categories","0","0","1","0","0"
"","","Story: User should be able to create an empty cart","0","0","1","0","0"
"","","Story: USer should be able to order for a cart","1","0","0","0","0"
